name,address,size,end,classification,confidence
func_00103D70,0x00103D70,0x10,0x00103D80,code,spimdisasm-explicit-size-before-first-data
func_00103D80,0x00103D80,0x10,0x00103D90,code,spimdisasm-explicit-size-before-first-data
func_00103D90,0x00103D90,0x10,0x00103DA0,code,spimdisasm-explicit-size-before-first-data
func_00103DA0,0x00103DA0,0x10,0x00103DB0,code,spimdisasm-explicit-size-before-first-data
func_00103DB0,0x00103DB0,0x10,0x00103DC0,code,spimdisasm-explicit-size-before-first-data
func_00103DC0,0x00103DC0,0x10,0x00103DD0,code,spimdisasm-explicit-size-before-first-data
func_00103DD0,0x00103DD0,0x10,0x00103DE0,code,spimdisasm-explicit-size-before-first-data
func_00103DE0,0x00103DE0,0x10,0x00103DF0,code,spimdisasm-explicit-size-before-first-data
func_00103DF0,0x00103DF0,0x10,0x00103E00,code,spimdisasm-explicit-size-before-first-data
func_00103E00,0x00103E00,0x10,0x00103E10,code,spimdisasm-explicit-size-before-first-data
func_00103E10,0x00103E10,0x10,0x00103E20,code,spimdisasm-explicit-size-before-first-data
func_00103E20,0x00103E20,0x10,0x00103E30,code,spimdisasm-explicit-size-before-first-data
func_00103E30,0x00103E30,0x10,0x00103E40,code,spimdisasm-explicit-size-before-first-data
func_00103E40,0x00103E40,0x10,0x00103E50,code,spimdisasm-explicit-size-before-first-data
func_00103E50,0x00103E50,0x10,0x00103E60,code,spimdisasm-explicit-size-before-first-data
func_00103E60,0x00103E60,0x10,0x00103E70,code,spimdisasm-explicit-size-before-first-data
func_00103E70,0x00103E70,0x10,0x00103E80,code,spimdisasm-explicit-size-before-first-data
func_00103E80,0x00103E80,0x10,0x00103E90,code,spimdisasm-explicit-size-before-first-data
func_00103E90,0x00103E90,0x10,0x00103EA0,code,spimdisasm-explicit-size-before-first-data
func_00103EA0,0x00103EA0,0x10,0x00103EB0,code,spimdisasm-explicit-size-before-first-data
func_00103EB0,0x00103EB0,0x10,0x00103EC0,code,spimdisasm-explicit-size-before-first-data
func_00103EC0,0x00103EC0,0x10,0x00103ED0,code,spimdisasm-explicit-size-before-first-data
func_00103ED0,0x00103ED0,0x10,0x00103EE0,code,spimdisasm-explicit-size-before-first-data
func_00103EE0,0x00103EE0,0x10,0x00103EF0,code,spimdisasm-explicit-size-before-first-data
func_00103EF0,0x00103EF0,0x10,0x00103F00,code,spimdisasm-explicit-size-before-first-data
func_00103F00,0x00103F00,0x10,0x00103F10,code,spimdisasm-explicit-size-before-first-data
func_00103F10,0x00103F10,0x10,0x00103F20,code,spimdisasm-explicit-size-before-first-data
func_00103F20,0x00103F20,0x10,0x00103F30,code,spimdisasm-explicit-size-before-first-data
func_00103F30,0x00103F30,0x10,0x00103F40,code,spimdisasm-explicit-size-before-first-data
func_00103F40,0x00103F40,0x10,0x00103F50,code,spimdisasm-explicit-size-before-first-data
func_00103F50,0x00103F50,0x10,0x00103F60,code,spimdisasm-explicit-size-before-first-data
func_00103F60,0x00103F60,0x10,0x00103F70,code,spimdisasm-explicit-size-before-first-data
func_00103F70,0x00103F70,0x10,0x00103F80,code,spimdisasm-explicit-size-before-first-data
func_00103F80,0x00103F80,0x10,0x00103F90,code,spimdisasm-explicit-size-before-first-data
func_00103F90,0x00103F90,0x10,0x00103FA0,code,spimdisasm-explicit-size-before-first-data
func_00103FA0,0x00103FA0,0x10,0x00103FB0,code,spimdisasm-explicit-size-before-first-data
func_00103FB0,0x00103FB0,0x10,0x00103FC0,code,spimdisasm-explicit-size-before-first-data
func_00103FC0,0x00103FC0,0x10,0x00103FD0,code,spimdisasm-explicit-size-before-first-data
func_00103FD0,0x00103FD0,0x10,0x00103FE0,code,spimdisasm-explicit-size-before-first-data
func_00103FE0,0x00103FE0,0x10,0x00103FF0,code,spimdisasm-explicit-size-before-first-data
func_00103FF0,0x00103FF0,0x10,0x00104000,code,spimdisasm-explicit-size-before-first-data
func_00104000,0x00104000,0x10,0x00104010,code,spimdisasm-explicit-size-before-first-data
func_00104010,0x00104010,0x10,0x00104020,code,spimdisasm-explicit-size-before-first-data
